symptoms,disease,description,medicines
"Joint pain, Swelling, Stiffness (especially in the morning), Fatigue, Weakness, Fever, Loss of appetite, Rheumatoid nodules (lumps under the skin)	",Rheumatoid Arthritis	,Autoimmune disorder causing inflammation of joints and surrounding tissues	,"Nonsteroidal anti-inflammatory drugs (NSAIDs), Disease-modifying antirheumatic drugs (DMARDs), Biologic response modifiers (e.g., TNF inhibitors)"
"Joint pain and swelling, Butterfly-shaped rash on face (malar rash), Fatigue, Fever, Chest pain, Sensitivity to sunlight, Mouth or nose sores, Raynaud's phenomenon	",Systemic Lupus Erythematosus (SLE)	,Chronic autoimmune disease affecting various organs and tissues	,"Nonsteroidal anti-inflammatory drugs (NSAIDs), Corticosteroids, Antimalarial drugs, Immunosuppressants, Biologic therapies"
"Fatigue, Numbness or weakness in limbs, Blurred or double vision, Tingling or pain in parts of the body, Impaired coordination or balance, Cognitive changes	",Multiple Sclerosis	,Autoimmune disease affecting the central nervous system	,"Corticosteroids (for acute exacerbations), Disease-modifying therapies (Interferons, Glatiramer acetate)"
"Increased thirst, Frequent urination, Extreme hunger, Unintended weight loss, Fatigue, Irritability, Blurred vision	",Type 1 Diabetes,Autoimmune condition causing destruction of insulin-producing cells in pancreas	,"Insulin therapy (multiple types), Blood sugar monitoring, Oral medications (in some cases)"
"Fatigue, Weight gain, Cold intolerance, Dry skin and hair, Constipation, Muscle weakness, Joint pain, Heavy or irregular periods (in women)	",Hashimoto's Thyroiditis	,Autoimmune disorder leading to inflammation and underactivity of the thyroid gland	,"Thyroid hormone replacement therapy (Levothyroxine), Anti-inflammatory medications (for symptom relief)"
"Hyperthyroidism symptoms: Weight loss, Rapid heartbeat, Nervousness or irritability, Tremors, Sweating, Fatigue, Heat intolerance, Bulging eyes (exophthalmos)	",Graves' Disease	,Autoimmune disorder causing overactivity of the thyroid gland	,"Antithyroid medications (Methimazole, Propylthiouracil), Beta-blockers (for symptom relief)"
"Diarrhea, Abdominal pain and cramping, Rectal bleeding, Weight loss, Fatigue, Reduced appetite, Fever, Perianal complications (fistulas, abscesses)	",Crohn's Disease	,Chronic inflammatory bowel disease affecting the gastrointestinal tract	,"Aminosalicylates, Corticosteroids, Immunomodulators, Biologic therapies"
"Diarrhea (often bloody), Abdominal pain and cramping, Rectal bleeding, Urgency to defecate, Inability to defecate despite urgency, Fatigue, Weight loss	",Ulcerative Colitis	,Chronic inflammatory bowel disease affecting the colon and rectum	,"Aminosalicylates, Corticosteroids, Immunomodulators, Biologic therapies"
"Red patches of skin covered with silvery scales, Itching or burning, Thickened or ridged nails, Swollen or stiff joints (psoriatic arthritis), Plaques on scalp	",Psoriasis	,Chronic autoimmune condition affecting the skin	,"Topical corticosteroids, Vitamin D analogs, Retinoids, Biologic therapies"
"Abdominal pain, Diarrhea, Bloating, Gas, Fatigue, Weight loss, Anemia, Osteoporosis, Dermatitis herpetiformis (skin rash)	",Celiac Disease	,"Autoimmune disorder triggered by gluten ingestion, causing damage to the small intestine	","Gluten-free diet (strict avoidance of gluten-containing foods), Nutritional supplements"
